,onetsoc_code,element_id,scale_id,data_value
426,11-2031.00,2.A.1.d_IM,IM,4.0
427,11-2031.00,2.A.1.d_LV,LV,4.5
428,11-2031.00,2.A.1.e_IM,IM,2.62
429,11-2031.00,2.A.1.e_LV,LV,2.62
430,11-2031.00,2.A.1.f_IM,IM,1.62
431,11-2031.00,2.A.1.f_LV,LV,0.62
432,11-2031.00,2.A.2.a_IM,IM,3.62
433,11-2031.00,2.A.2.a_LV,LV,4.0
434,11-2031.00,2.A.2.b_IM,IM,3.25
435,11-2031.00,2.A.2.b_LV,LV,3.5
436,11-2031.00,2.A.2.c_IM,IM,3.0
437,11-2031.00,2.A.2.c_LV,LV,3.12
438,11-2031.00,2.A.2.d_IM,IM,3.25
439,11-2031.00,2.A.2.d_LV,LV,3.88
440,11-2031.00,2.B.1.a_IM,IM,4.12
441,11-2031.00,2.B.1.a_LV,LV,4.25
442,11-2031.00,2.B.1.b_IM,IM,3.62
443,11-2031.00,2.B.1.b_LV,LV,3.88
444,11-2031.00,2.B.1.c_IM,IM,3.88
445,11-2031.00,2.B.1.c_LV,LV,4.0
446,11-2031.00,2.B.1.d_IM,IM,3.38
447,11-2031.00,2.B.1.d_LV,LV,3.62
448,11-2031.00,2.B.1.e_IM,IM,3.0
449,11-2031.00,2.B.1.e_LV,LV,3.38
450,11-2031.00,2.B.1.f_IM,IM,3.38
451,11-2031.00,2.B.1.f_LV,LV,3.5
452,11-2031.00,2.B.2.i_IM,IM,3.88
453,11-2031.00,2.B.2.i_LV,LV,3.88
454,11-2031.00,2.B.3.a_IM,IM,2.38
455,11-2031.00,2.B.3.a_LV,LV,2.12
456,11-2031.00,2.B.3.b_IM,IM,1.62
457,11-2031.00,2.B.3.b_LV,LV,0.62
458,11-2031.00,2.B.3.c_IM,IM,1.0
459,11-2031.00,2.B.3.c_LV,LV,0.0
460,11-2031.00,2.B.3.d_IM,IM,1.0
461,11-2031.00,2.B.3.d_LV,LV,0.0
462,11-2031.00,2.B.3.e_IM,IM,1.62
463,11-2031.00,2.B.3.e_LV,LV,0.62
464,11-2031.00,2.B.3.g_IM,IM,1.75
465,11-2031.00,2.B.3.g_LV,LV,0.75
466,11-2031.00,2.B.3.h_IM,IM,1.0
467,11-2031.00,2.B.3.h_LV,LV,0.0
468,11-2031.00,2.B.3.j_IM,IM,1.0
469,11-2031.00,2.B.3.j_LV,LV,0.0
470,11-2031.00,2.B.3.k_IM,IM,1.0
471,11-2031.00,2.B.3.k_LV,LV,0.0
472,11-2031.00,2.B.3.l_IM,IM,1.0
473,11-2031.00,2.B.3.l_LV,LV,0.0
474,11-2031.00,2.B.3.m_IM,IM,1.62
475,11-2031.00,2.B.3.m_LV,LV,1.0
476,11-2031.00,2.B.4.e_IM,IM,3.75
477,11-2031.00,2.B.4.e_LV,LV,4.0
478,11-2031.00,2.B.4.g_IM,IM,3.5
479,11-2031.00,2.B.4.g_LV,LV,3.62
480,11-2031.00,2.B.4.h_IM,IM,3.5
481,11-2031.00,2.B.4.h_LV,LV,3.5
482,11-2031.00,2.B.5.a_IM,IM,3.5
483,11-2031.00,2.B.5.a_LV,LV,3.75
484,11-2031.00,2.B.5.b_IM,IM,3.0
485,11-2031.00,2.B.5.b_LV,LV,3.25
486,11-2031.00,2.B.5.c_IM,IM,2.62
487,11-2031.00,2.B.5.c_LV,LV,2.62
488,11-2031.00,2.B.5.d_IM,IM,3.0
489,11-2031.00,2.B.5.d_LV,LV,3.62
490,11-3011.00,2.A.1.a_IM,IM,4.0
491,11-3011.00,2.A.1.a_LV,LV,4.0
492,11-3011.00,2.A.1.b_IM,IM,4.0
493,11-3011.00,2.A.1.b_LV,LV,4.0
494,11-3011.00,2.A.1.c_IM,IM,3.75
495,11-3011.00,2.A.1.c_LV,LV,3.75
496,11-3011.00,2.A.1.d_IM,IM,3.88
497,11-3011.00,2.A.1.d_LV,LV,3.88
498,11-3011.00,2.A.1.e_IM,IM,2.25
499,11-3011.00,2.A.1.e_LV,LV,2.12
500,11-3011.00,2.A.1.f_IM,IM,1.0
501,11-3011.00,2.A.1.f_LV,LV,0.0
502,11-3011.00,2.A.2.a_IM,IM,3.75
503,11-3011.00,2.A.2.a_LV,LV,3.88
504,11-3011.00,2.A.2.b_IM,IM,3.12
505,11-3011.00,2.A.2.b_LV,LV,3.38
506,11-3011.00,2.A.2.c_IM,IM,3.0
507,11-3011.00,2.A.2.c_LV,LV,3.25
508,11-3011.00,2.A.2.d_IM,IM,3.38
509,11-3011.00,2.A.2.d_LV,LV,3.62
510,11-3011.00,2.B.1.a_IM,IM,3.25
511,11-3011.00,2.B.1.a_LV,LV,3.75
512,11-3011.00,2.B.1.b_IM,IM,3.75
513,11-3011.00,2.B.1.b_LV,LV,3.62
514,11-3011.00,2.B.1.c_IM,IM,3.0
