,onetsoc_code,element_id,scale_id,data_value
243,11-2011.00,2.C.6_IM,IM,2.94
244,11-2011.00,2.C.6_LV,LV,3.85
245,11-2011.00,2.C.7.a_IM,IM,4.41
246,11-2011.00,2.C.7.a_LV,LV,4.85
247,11-2011.00,2.C.7.b_IM,IM,1.58
248,11-2011.00,2.C.7.b_LV,LV,1.04
249,11-2011.00,2.C.7.c_IM,IM,2.35
250,11-2011.00,2.C.7.c_LV,LV,2.3
251,11-2011.00,2.C.7.d_IM,IM,1.67
252,11-2011.00,2.C.7.d_LV,LV,1.13
253,11-2011.00,2.C.7.e_IM,IM,1.8900000000000001
254,11-2011.00,2.C.7.e_LV,LV,2.11
255,11-2011.00,2.C.8.a_IM,IM,2.47
256,11-2011.00,2.C.8.a_LV,LV,2.19
257,11-2011.00,2.C.8.b_IM,IM,2.23
258,11-2011.00,2.C.8.b_LV,LV,2.09
259,11-2011.00,2.C.9.a_IM,IM,2.4
260,11-2011.00,2.C.9.a_LV,LV,1.9100000000000001
261,11-2011.00,2.C.9.b_IM,IM,4.35
262,11-2011.00,2.C.9.b_LV,LV,5.21
263,11-2011.00,2.C.10_IM,IM,1.9500000000000002
264,11-2011.00,2.C.10_LV,LV,1.5899999999999999
265,11-2021.00,2.C.1.a_IM,IM,4.04
266,11-2021.00,2.C.1.a_LV,LV,4.61
267,11-2021.00,2.C.1.b_IM,IM,3.01
268,11-2021.00,2.C.1.b_LV,LV,4.1
269,11-2021.00,2.C.1.c_IM,IM,3.1
270,11-2021.00,2.C.1.c_LV,LV,3.55
271,11-2021.00,2.C.1.d_IM,IM,4.85
272,11-2021.00,2.C.1.d_LV,LV,6.05
273,11-2021.00,2.C.1.e_IM,IM,3.85
274,11-2021.00,2.C.1.e_LV,LV,4.85
275,11-2021.00,2.C.1.f_IM,IM,2.71
276,11-2021.00,2.C.1.f_LV,LV,3.55
277,11-2021.00,2.C.2.a_IM,IM,2.46
278,11-2021.00,2.C.2.a_LV,LV,2.92
279,11-2021.00,2.C.2.b_IM,IM,1.12
280,11-2021.00,2.C.2.b_LV,LV,0.28
281,11-2021.00,2.C.3.a_IM,IM,3.51
282,11-2021.00,2.C.3.a_LV,LV,4.05
283,11-2021.00,2.C.3.b_IM,IM,2.77
284,11-2021.00,2.C.3.b_LV,LV,2.47
285,11-2021.00,2.C.3.c_IM,IM,3.15
286,11-2021.00,2.C.3.c_LV,LV,3.55
287,11-2021.00,2.C.3.d_IM,IM,1.19
288,11-2021.00,2.C.3.d_LV,LV,0.42
289,11-2021.00,2.C.3.e_IM,IM,1.33
290,11-2021.00,2.C.3.e_LV,LV,0.54
291,11-2021.00,2.C.4.a_IM,IM,3.51
292,11-2021.00,2.C.4.a_LV,LV,4.4
293,11-2021.00,2.C.4.b_IM,IM,1.18
294,11-2021.00,2.C.4.b_LV,LV,0.37
295,11-2021.00,2.C.4.c_IM,IM,1.21
296,11-2021.00,2.C.4.c_LV,LV,0.43
297,11-2021.00,2.C.4.d_IM,IM,1.1
298,11-2021.00,2.C.4.d_LV,LV,0.2
299,11-2021.00,2.C.4.e_IM,IM,2.45
300,11-2021.00,2.C.4.e_LV,LV,2.86
301,11-2021.00,2.C.4.f_IM,IM,2.03
302,11-2021.00,2.C.4.f_LV,LV,2.44
303,11-2021.00,2.C.4.g_IM,IM,2.2
304,11-2021.00,2.C.4.g_LV,LV,2.55
305,11-2021.00,2.C.5.a_IM,IM,1.26
306,11-2021.00,2.C.5.a_LV,LV,0.44
307,11-2021.00,2.C.5.b_IM,IM,1.63
308,11-2021.00,2.C.5.b_LV,LV,1.1
309,11-2021.00,2.C.6_IM,IM,3.03
310,11-2021.00,2.C.7.a_IM,IM,4.48
311,11-2021.00,2.C.7.a_LV,LV,5.04
312,11-2021.00,2.C.7.b_IM,IM,1.6400000000000001
313,11-2021.00,2.C.7.b_LV,LV,1.3599999999999999
314,11-2021.00,2.C.7.c_IM,IM,1.7000000000000002
315,11-2021.00,2.C.7.c_LV,LV,1.32
316,11-2021.00,2.C.7.d_IM,IM,1.6800000000000002
317,11-2021.00,2.C.7.d_LV,LV,1.09
318,11-2021.00,2.C.7.e_IM,IM,1.6400000000000001
319,11-2021.00,2.C.7.e_LV,LV,1.12
320,11-2021.00,2.C.8.a_IM,IM,2.5
321,11-2021.00,2.C.8.a_LV,LV,2.26
322,11-2021.00,2.C.8.b_IM,IM,2.86
323,11-2021.00,2.C.8.b_LV,LV,2.93
324,11-2021.00,2.C.9.a_IM,IM,2.86
325,11-2021.00,2.C.9.a_LV,LV,2.56
326,11-2021.00,2.C.9.b_IM,IM,3.8
327,11-2021.00,2.C.9.b_LV,LV,4.21
328,11-2021.00,2.C.10_IM,IM,1.6800000000000002
329,11-2021.00,2.C.10_LV,LV,1.53
330,11-2022.00,2.C.1.a_IM,IM,4.0
331,11-2022.00,2.C.1.a_LV,LV,5.26
332,11-2022.00,2.C.1.b_IM,IM,2.91
333,11-2022.00,2.C.1.b_LV,LV,4.3
334,11-2022.00,2.C.1.c_IM,IM,2.91
335,11-2022.00,2.C.1.c_LV,LV,3.7
336,11-2022.00,2.C.1.d_IM,IM,4.7
337,11-2022.00,2.C.1.d_LV,LV,6.13
338,11-2022.00,2.C.1.e_IM,IM,4.48
339,11-2022.00,2.C.1.e_LV,LV,5.39
340,11-2022.00,2.C.1.f_IM,IM,3.04
341,11-2022.00,2.C.1.f_LV,LV,3.91
342,11-2022.00,2.C.2.a_IM,IM,2.65
343,11-2022.00,2.C.2.a_LV,LV,3.09
344,11-2022.00,2.C.2.b_IM,IM,1.04
345,11-2022.00,2.C.2.b_LV,LV,0.09
346,11-2022.00,2.C.3.a_IM,IM,3.17
347,11-2022.00,2.C.3.a_LV,LV,3.96
348,11-2022.00,2.C.3.b_IM,IM,2.13
349,11-2022.00,2.C.3.b_LV,LV,2.0
350,11-2022.00,2.C.3.c_IM,IM,1.83
351,11-2022.00,2.C.3.c_LV,LV,1.43
352,11-2022.00,2.C.3.d_IM,IM,1.65
353,11-2022.00,2.C.3.d_LV,LV,1.13
354,11-2022.00,2.C.3.e_IM,IM,1.87
355,11-2022.00,2.C.3.e_LV,LV,1.3900000000000001
356,11-2022.00,2.C.4.a_IM,IM,3.09
357,11-2022.00,2.C.4.a_LV,LV,4.22
358,11-2022.00,2.C.4.b_IM,IM,1.52
359,11-2022.00,2.C.4.b_LV,LV,0.91
360,11-2022.00,2.C.4.c_IM,IM,1.3900000000000001
361,11-2022.00,2.C.4.c_LV,LV,0.96
362,11-2022.00,2.C.4.d_IM,IM,1.35
363,11-2022.00,2.C.4.d_LV,LV,0.61
364,11-2022.00,2.C.4.e_IM,IM,2.68
365,11-2022.00,2.C.4.e_LV,LV,2.95
366,11-2022.00,2.C.4.f_IM,IM,1.8599999999999999
367,11-2022.00,2.C.4.f_LV,LV,1.6800000000000002
368,11-2022.00,2.C.4.g_IM,IM,2.26
369,11-2022.00,2.C.4.g_LV,LV,2.39
370,11-2022.00,2.C.5.a_IM,IM,1.04
371,11-2022.00,2.C.5.a_LV,LV,0.09
372,11-2022.00,2.C.5.b_IM,IM,1.57
373,11-2022.00,2.C.5.b_LV,LV,1.04
374,11-2022.00,2.C.6_IM,IM,3.35
375,11-2022.00,2.C.6_LV,LV,4.65
376,11-2022.00,2.C.7.a_IM,IM,4.32
377,11-2022.00,2.C.7.a_LV,LV,4.68
378,11-2022.00,2.C.7.b_IM,IM,1.78
379,11-2022.00,2.C.7.b_LV,LV,1.35
380,11-2022.00,2.C.7.c_IM,IM,1.35
381,11-2022.00,2.C.7.c_LV,LV,0.61
382,11-2022.00,2.C.7.d_IM,IM,1.22
383,11-2022.00,2.C.7.d_LV,LV,0.52
384,11-2022.00,2.C.7.e_IM,IM,1.57
385,11-2022.00,2.C.7.e_LV,LV,1.22
386,11-2022.00,2.C.8.a_IM,IM,1.87
387,11-2022.00,2.C.8.a_LV,LV,1.48
388,11-2022.00,2.C.8.b_IM,IM,2.04
389,11-2022.00,2.C.8.b_LV,LV,2.13
390,11-2022.00,2.C.9.a_IM,IM,2.73
391,11-2022.00,2.C.9.a_LV,LV,1.96
392,11-2022.00,2.C.9.b_IM,IM,3.17
393,11-2022.00,2.C.9.b_LV,LV,3.04
394,11-2022.00,2.C.10_IM,IM,2.22
395,11-2022.00,2.C.10_LV,LV,2.13
396,11-2031.00,2.C.1.a_IM,IM,3.85
397,11-2031.00,2.C.1.a_LV,LV,4.48
398,11-2031.00,2.C.1.b_IM,IM,3.1
399,11-2031.00,2.C.1.b_LV,LV,4.24
400,11-2031.00,2.C.1.c_IM,IM,2.92
401,11-2031.00,2.C.1.c_LV,LV,2.94
402,11-2031.00,2.C.1.d_IM,IM,4.44
403,11-2031.00,2.C.1.d_LV,LV,5.47
404,11-2031.00,2.C.1.e_IM,IM,4.36
405,11-2031.00,2.C.1.e_LV,LV,5.86
406,11-2031.00,2.C.1.f_IM,IM,2.92
407,11-2031.00,2.C.1.f_LV,LV,3.74
408,11-2031.00,2.C.2.a_IM,IM,1.45
409,11-2031.00,2.C.2.a_LV,LV,0.77
410,11-2031.00,2.C.2.b_IM,IM,1.04
411,11-2031.00,2.C.2.b_LV,LV,0.12
412,11-2031.00,2.C.3.a_IM,IM,2.34
413,11-2031.00,2.C.3.a_LV,LV,2.88
414,11-2031.00,2.C.3.b_IM,IM,1.31
415,11-2031.00,2.C.3.b_LV,LV,0.51
416,11-2031.00,2.C.3.c_IM,IM,1.25
417,11-2031.00,2.C.3.c_LV,LV,0.41000000000000003
418,11-2031.00,2.C.3.d_IM,IM,1.18
419,11-2031.00,2.C.3.d_LV,LV,0.22
420,11-2031.00,2.C.3.e_IM,IM,1.05
421,11-2031.00,2.C.3.e_LV,LV,0.08
422,11-2031.00,2.C.4.a_IM,IM,2.81
423,11-2031.00,2.C.4.a_LV,LV,3.9
424,11-2031.00,2.C.4.b_IM,IM,1.13
425,11-2031.00,2.C.4.b_LV,LV,0.26
426,11-2031.00,2.C.4.c_IM,IM,1.22
427,11-2031.00,2.C.4.c_LV,LV,0.55
428,11-2031.00,2.C.4.d_IM,IM,1.13
429,11-2031.00,2.C.4.d_LV,LV,0.15
430,11-2031.00,2.C.4.e_IM,IM,3.02
431,11-2031.00,2.C.4.e_LV,LV,3.27
432,11-2031.00,2.C.4.f_IM,IM,2.6
433,11-2031.00,2.C.4.f_LV,LV,3.25
434,11-2031.00,2.C.4.g_IM,IM,1.62
435,11-2031.00,2.C.4.g_LV,LV,1.22
436,11-2031.00,2.C.5.a_IM,IM,1.63
437,11-2031.00,2.C.5.a_LV,LV,0.86
438,11-2031.00,2.C.5.b_IM,IM,1.83
439,11-2031.00,2.C.5.b_LV,LV,1.54
440,11-2031.00,2.C.6_IM,IM,2.88
441,11-2031.00,2.C.6_LV,LV,4.02
442,11-2031.00,2.C.7.a_IM,IM,4.36
443,11-2031.00,2.C.7.a_LV,LV,4.91
444,11-2031.00,2.C.7.b_IM,IM,1.43
445,11-2031.00,2.C.7.b_LV,LV,0.6
446,11-2031.00,2.C.7.c_IM,IM,2.39
447,11-2031.00,2.C.7.c_LV,LV,2.27
448,11-2031.00,2.C.7.d_IM,IM,1.79
449,11-2031.00,2.C.7.d_LV,LV,1.49
450,11-2031.00,2.C.7.e_IM,IM,1.8599999999999999
451,11-2031.00,2.C.7.e_LV,LV,2.13
452,11-2031.00,2.C.8.a_IM,IM,2.12
453,11-2031.00,2.C.8.a_LV,LV,1.69
454,11-2031.00,2.C.8.b_IM,IM,2.62
455,11-2031.00,2.C.8.b_LV,LV,2.74
456,11-2031.00,2.C.9.a_IM,IM,1.79
457,11-2031.00,2.C.9.a_LV,LV,1.11
458,11-2031.00,2.C.9.b_IM,IM,3.99
459,11-2031.00,2.C.9.b_LV,LV,4.84
460,11-2031.00,2.C.10_IM,IM,1.53
461,11-2031.00,2.C.10_LV,LV,1.01
462,11-3011.00,2.C.1.a_IM,IM,4.24
463,11-3011.00,2.C.1.a_LV,LV,4.5600000000000005
464,11-3011.00,2.C.1.b_IM,IM,3.9
465,11-3011.00,2.C.1.b_LV,LV,5.18
466,11-3011.00,2.C.1.c_IM,IM,2.92
467,11-3011.00,2.C.1.c_LV,LV,3.14
468,11-3011.00,2.C.1.d_IM,IM,1.9500000000000002
469,11-3011.00,2.C.1.d_LV,LV,2.0
470,11-3011.00,2.C.1.e_IM,IM,4.44
471,11-3011.00,2.C.1.e_LV,LV,5.17
472,11-3011.00,2.C.1.f_IM,IM,3.35
473,11-3011.00,2.C.1.f_LV,LV,4.12
474,11-3011.00,2.C.2.a_IM,IM,2.89
475,11-3011.00,2.C.2.a_LV,LV,3.02
476,11-3011.00,2.C.2.b_IM,IM,1.27
477,11-3011.00,2.C.2.b_LV,LV,0.61
478,11-3011.00,2.C.3.a_IM,IM,3.35
479,11-3011.00,2.C.3.a_LV,LV,4.15
480,11-3011.00,2.C.3.b_IM,IM,2.06
481,11-3011.00,2.C.3.b_LV,LV,1.62
482,11-3011.00,2.C.3.c_IM,IM,2.1
483,11-3011.00,2.C.3.c_LV,LV,2.01
484,11-3011.00,2.C.3.d_IM,IM,2.29
485,11-3011.00,2.C.3.d_LV,LV,2.17
486,11-3011.00,2.C.3.e_IM,IM,2.33
487,11-3011.00,2.C.3.e_LV,LV,2.25
488,11-3011.00,2.C.4.a_IM,IM,3.26
489,11-3011.00,2.C.4.a_LV,LV,3.54
490,11-3011.00,2.C.4.b_IM,IM,1.6
491,11-3011.00,2.C.4.b_LV,LV,1.1400000000000001
492,11-3011.00,2.C.4.c_IM,IM,1.52
493,11-3011.00,2.C.4.c_LV,LV,1.33
494,11-3011.00,2.C.4.d_IM,IM,1.37
495,11-3011.00,2.C.4.d_LV,LV,0.74
496,11-3011.00,2.C.4.e_IM,IM,2.07
497,11-3011.00,2.C.4.e_LV,LV,1.99
498,11-3011.00,2.C.4.f_IM,IM,1.76
499,11-3011.00,2.C.4.f_LV,LV,1.45
500,11-3011.00,2.C.4.g_IM,IM,1.51
501,11-3011.00,2.C.4.g_LV,LV,1.1
502,11-3011.00,2.C.5.a_IM,IM,1.78
503,11-3011.00,2.C.5.a_LV,LV,1.08
504,11-3011.00,2.C.5.b_IM,IM,1.74
505,11-3011.00,2.C.5.b_LV,LV,1.3900000000000001
506,11-3011.00,2.C.6_IM,IM,2.84
507,11-3011.00,2.C.6_LV,LV,3.05
508,11-3011.00,2.C.7.a_IM,IM,4.03
