,onetsoc_code,element_id,scale_id,data_value
264,11-2011.00,4.A.2.b.1_IM,IM,3.8200000000000003
265,11-2011.00,4.A.2.b.1_LV,LV,4.18
266,11-2011.00,4.A.2.b.2_IM,IM,4.05
267,11-2011.00,4.A.2.b.2_LV,LV,4.73
268,11-2011.00,4.A.2.b.3_IM,IM,3.7800000000000002
269,11-2011.00,4.A.2.b.3_LV,LV,4.49
270,11-2011.00,4.A.2.b.4_IM,IM,3.42
271,11-2011.00,4.A.2.b.4_LV,LV,3.9
272,11-2011.00,4.A.2.b.5_IM,IM,3.34
273,11-2011.00,4.A.2.b.5_LV,LV,4.06
274,11-2011.00,4.A.2.b.6_IM,IM,4.17
275,11-2011.00,4.A.2.b.6_LV,LV,5.5600000000000005
276,11-2011.00,4.A.3.a.1_IM,IM,1.9
277,11-2011.00,4.A.3.a.1_LV,LV,1.56
278,11-2011.00,4.A.3.a.2_IM,IM,2.08
279,11-2011.00,4.A.3.a.2_LV,LV,2.45
280,11-2011.00,4.A.3.a.3_IM,IM,1.85
281,11-2011.00,4.A.3.a.3_LV,LV,1.3900000000000001
282,11-2011.00,4.A.3.a.4_IM,IM,1.82
283,11-2011.00,4.A.3.a.4_LV,LV,1.06
284,11-2011.00,4.A.3.b.1_IM,IM,4.61
285,11-2011.00,4.A.3.b.1_LV,LV,3.94
286,11-2011.00,4.A.3.b.2_IM,IM,1.28
287,11-2011.00,4.A.3.b.2_LV,LV,0.54
288,11-2011.00,4.A.3.b.4_IM,IM,1.21
289,11-2011.00,4.A.3.b.4_LV,LV,0.66
290,11-2011.00,4.A.3.b.5_IM,IM,1.34
291,11-2011.00,4.A.3.b.5_LV,LV,0.48
292,11-2011.00,4.A.3.b.6_IM,IM,3.31
293,11-2011.00,4.A.3.b.6_LV,LV,3.05
294,11-2011.00,4.A.4.a.1_IM,IM,3.01
295,11-2011.00,4.A.4.a.1_LV,LV,2.9
296,11-2011.00,4.A.4.a.2_IM,IM,4.25
297,11-2011.00,4.A.4.a.2_LV,LV,5.15
298,11-2011.00,4.A.4.a.3_IM,IM,4.37
299,11-2011.00,4.A.4.a.3_LV,LV,5.7
300,11-2011.00,4.A.4.a.4_IM,IM,4.01
301,11-2011.00,4.A.4.a.4_LV,LV,5.22
302,11-2011.00,4.A.4.a.5_IM,IM,2.37
303,11-2011.00,4.A.4.a.5_LV,LV,2.0
304,11-2011.00,4.A.4.a.6_IM,IM,3.64
305,11-2011.00,4.A.4.a.6_LV,LV,4.51
306,11-2011.00,4.A.4.a.7_IM,IM,2.8200000000000003
307,11-2011.00,4.A.4.a.7_LV,LV,3.47
308,11-2011.00,4.A.4.a.8_IM,IM,3.18
309,11-2011.00,4.A.4.a.8_LV,LV,3.81
310,11-2011.00,4.A.4.b.1_IM,IM,3.07
311,11-2011.00,4.A.4.b.1_LV,LV,3.87
312,11-2011.00,4.A.4.b.2_IM,IM,2.96
313,11-2011.00,4.A.4.b.2_LV,LV,3.11
314,11-2011.00,4.A.4.b.3_IM,IM,2.74
315,11-2011.00,4.A.4.b.3_LV,LV,2.83
316,11-2011.00,4.A.4.b.4_IM,IM,2.98
317,11-2011.00,4.A.4.b.4_LV,LV,3.26
318,11-2011.00,4.A.4.b.5_IM,IM,2.62
319,11-2011.00,4.A.4.b.5_LV,LV,3.2800000000000002
320,11-2011.00,4.A.4.b.6_IM,IM,2.31
321,11-2011.00,4.A.4.b.6_LV,LV,2.52
322,11-2011.00,4.A.4.c.1_IM,IM,3.11
323,11-2011.00,4.A.4.c.1_LV,LV,3.65
324,11-2011.00,4.A.4.c.2_IM,IM,2.29
325,11-2011.00,4.A.4.c.2_LV,LV,2.31
326,11-2011.00,4.A.4.c.3_IM,IM,2.52
327,11-2011.00,4.A.4.c.3_LV,LV,3.08
328,11-2021.00,4.A.1.a.1_IM,IM,4.33
329,11-2021.00,4.A.1.a.1_LV,LV,4.98
330,11-2021.00,4.A.1.a.2_IM,IM,3.27
331,11-2021.00,4.A.1.a.2_LV,LV,3.62
332,11-2021.00,4.A.1.b.1_IM,IM,4.24
333,11-2021.00,4.A.1.b.1_LV,LV,4.5600000000000005
334,11-2021.00,4.A.1.b.2_IM,IM,1.45
335,11-2021.00,4.A.1.b.2_LV,LV,0.72
336,11-2021.00,4.A.1.b.3_IM,IM,3.59
337,11-2021.00,4.A.1.b.3_LV,LV,3.04
338,11-2021.00,4.A.2.a.1_IM,IM,3.37
339,11-2021.00,4.A.2.a.1_LV,LV,3.5300000000000002
340,11-2021.00,4.A.2.a.2_IM,IM,3.36
341,11-2021.00,4.A.2.a.2_LV,LV,3.92
342,11-2021.00,4.A.2.a.3_IM,IM,2.61
343,11-2021.00,4.A.2.a.3_LV,LV,2.5700000000000003
344,11-2021.00,4.A.2.a.4_IM,IM,3.75
345,11-2021.00,4.A.2.a.4_LV,LV,4.04
346,11-2021.00,4.A.2.b.1_IM,IM,4.34
347,11-2021.00,4.A.2.b.1_LV,LV,4.67
348,11-2021.00,4.A.2.b.2_IM,IM,4.28
349,11-2021.00,4.A.2.b.2_LV,LV,4.71
350,11-2021.00,4.A.2.b.3_IM,IM,3.83
351,11-2021.00,4.A.2.b.3_LV,LV,4.52
352,11-2021.00,4.A.2.b.4_IM,IM,4.07
353,11-2021.00,4.A.2.b.4_LV,LV,4.17
354,11-2021.00,4.A.2.b.5_IM,IM,3.4
355,11-2021.00,4.A.2.b.5_LV,LV,3.96
356,11-2021.00,4.A.2.b.6_IM,IM,4.35
357,11-2021.00,4.A.2.b.6_LV,LV,5.86
358,11-2021.00,4.A.3.a.1_IM,IM,1.71
359,11-2021.00,4.A.3.a.1_LV,LV,1.06
360,11-2021.00,4.A.3.a.2_IM,IM,1.37
361,11-2021.00,4.A.3.a.2_LV,LV,0.81
362,11-2021.00,4.A.3.a.3_IM,IM,1.2
363,11-2021.00,4.A.3.a.3_LV,LV,0.37
364,11-2021.00,4.A.3.a.4_IM,IM,1.78
365,11-2021.00,4.A.3.a.4_LV,LV,0.9400000000000001
366,11-2021.00,4.A.3.b.1_IM,IM,4.4
367,11-2021.00,4.A.3.b.1_LV,LV,3.12
368,11-2021.00,4.A.3.b.2_IM,IM,1.29
369,11-2021.00,4.A.3.b.2_LV,LV,0.63
370,11-2021.00,4.A.3.b.4_IM,IM,1.1400000000000001
371,11-2021.00,4.A.3.b.4_LV,LV,0.28
372,11-2021.00,4.A.3.b.5_IM,IM,1.15
373,11-2021.00,4.A.3.b.5_LV,LV,0.31
374,11-2021.00,4.A.3.b.6_IM,IM,3.0
375,11-2021.00,4.A.3.b.6_LV,LV,2.5300000000000002
376,11-2021.00,4.A.4.a.1_IM,IM,3.39
377,11-2021.00,4.A.4.a.1_LV,LV,2.98
378,11-2021.00,4.A.4.a.2_IM,IM,4.75
379,11-2021.00,4.A.4.a.2_LV,LV,5.28
380,11-2021.00,4.A.4.a.3_IM,IM,4.2
381,11-2021.00,4.A.4.a.3_LV,LV,5.6
382,11-2021.00,4.A.4.a.4_IM,IM,4.68
383,11-2021.00,4.A.4.a.4_LV,LV,5.88
384,11-2021.00,4.A.4.a.5_IM,IM,2.44
